Organization,Project ID,IPC,Project Title,Project Description,Project Activities,Additional Information,Est Start Date,Est End Date,Budget,Cluster(s),Sectors,IA Sector(s),Cross-Cutting Issue(s),Implementing Organization(s),Partner Organization(s),Donor(s),Awardee Type,Number of People Reached (target),Calculation of Number of People Reached,Target Group(s),Country,_1st Administrative Level,_2nd Administrative Level,_3rd Administrative Level,City/Village,IDP/Refugee Camp,Latitude,Longitude,Contact Name,Contact Title,Contact E-mail,Website,Date Provided,Date Updated,Project Needs
Action Against Hunger,HAH0SC,AAH-HT-10-HAH0SC,"Réponse d'urgence en sécurité alimentaire suite au séisme aynat touché la région de Port-au-Prince, le 12 janvier 2010",Répondre en besoins immédiats et améliorer la sécurité alimentaire et les moyens d'existence des populations affectées par le tremblement de terre du 12 janvier,"Identification des sites de distributions                                                                                                                                                                                                                Sélection et enregistrement des bénéficiaires
Approvisionnement et Transport
DistributionPost Distribution monitoring",,1/13/2010,12/31/2010,"$1,639,723",Food Security and Agriculture,,Agriculture,,Action Against Hunger,,Private donations,," 85,000 ",,,Haiti,Artibonite,,,,,,,,,,,01-Oct-10,,
Action Against Hunger,HAH0SF,AAH-HT-10-HAH0SF,Construction d'aires de douches dans le cadre de soutien aux camps suite au séisme ayant touché la région de Port-au-Prince le 12 janvier 2010,"Améliorer les conditions d'hygiène et protéger la population à risque grâce à des infrastructures eau, hygiène et assainissement sur le Champ de Mars à Port-au-Prince","Construction de 220 aires de douches réparties sur les 9 places du Champs de Mars
Mise en place de 55 kits de récupération d'eau de pluie sur chacun des modules de douche.
Désinfection des douches 2 fois par semaine
Sensibilisation aux bonnes pratiques d'hygiène",,8/1/2010,10/31/2010,"$80,000",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Action Against Hunger,,Private donations,," 21,630 ",,,Haiti,Ouest,Port-au-Prince,,,,,,,,,,01-Oct-10,,
Action Against Hunger,HAH0SG,AAH-HT-10-HAH0SG,"Post-crisis response to the affected population following the earthquake of January 12th, 2010 in the area of Port-au-Prince",To support people psychologically distressed to cope with their situation and to put in place adaptive behaviours,"Psychosocial individual evaluation through a basic grid adapted from the WHO assessment tool kit in order to identify peoples psychologically affected
Psychological and psychosocial support to distress people through: individual psychosocial counselling, family and group psychosocial support, psychotherapy for specific cases
Training and supervision of national psychologists 
Psychosocial needs assessment
ACF contribute to definition of mental health national strategy
ACF active participation to Nutrition cluster and advocating for the implementation of the IASC guidelines on mental health and psychosocial support recommendations 
Sensitisation of ACF staff to the IASC psychosocial recommendations",,,,,,,Health,,Action Against Hunger,,,,  ,,,Haiti,,,,,,,,,,,,01-Oct-10,,
Action Against Hunger,HAH1A,AAH-HT-10-HAH1A,Accompagnement par une approche intégrée des populations les plus exposées à la malnutrition,"Améliorer la prévention de la malnutrition, l’accès et la qualité de la prise en charge des cas de malnutrition aiguë par une approche communautaire et institutionnelle des problématiques EAH, nutrition et psycho-sociale","3 PTA (K Soleil, Raboteau et consultation de l’hôpital de Secours) et 1 USN (hôpital de Secours) sont supportés sur la ville de Gonaïves, et préparés à l’autonomisation et 3 structures de santé (CDS) sont soutenues en Artibonite dans les zones sensibles et/ou vulnérables du Nord Artibonite (un centre de santé dans chacune des commune : Anse rouge, Ennery et L’Estére) 
 Mise en place d’une consultation psychologique pour le suivi des mères et des enfants malnutris : 
- Accompagnement à la mobilisation communautaire pour la mise en place des activités de prévention, de dépistage, et de référencement des enfants détectés malnutris
- Intégration et mise en place de système de référence entre les programmes VIH et les programmes de nutrition
-Organisations de consultation auprès de la population en grande difficulté psychologique pour leur permettre de mettre en route leur processus de résilience. 
30  puits ou forages équipés de pompes à motricité humaine sont rénovés et désinfectés dans la zone et délivrent une eau potable pour 500 utilisateurs maximum. 
- 5 réseaux gravitaires ou captages aménagés sont rénovés ou remis en service. 
- Visite en porte à porte et bilan sanitaire personnalisé. Proposition d’installation d’une pompe PVC, sensibilisation à l’hygiène et détection de la malnutrition. 
- Mise en place de comités d’assainissement de quartier pour produire et vendre des articles nécessaires à une amélioration des conditions d’hygiène : pompes PVC pour puits et forages et solution chlorée.",,7/1/2010,12/31/2010,"$151,196","Nutrition, Water Sanitation and Hygiene",,"Health, Water Sanitation and Hygiene",,Action Against Hunger,,Private donations,,  ,,,Haiti,Artibonite,Gonaïves,Gonaïves,,,,,,,,,01-Oct-10,,
Action Against Hunger,HAZ3D,AAH-HT-10-HAZ3D,"Développer les résiliences socio-économiques, physiologiques et psychologiques des populations les plus exposées à la malnutrition, Département de l'Artibonite","Renforcer les capacités individuelles, familiales, communautaires et structurelles à faire face à des chocs idiosynchatiques et conjoncturels en développant les résiliences socio-économiques, physiologiques et psychologiques.","Présélection des candidats potentiels                                                                                                                                                                                                                          Appel à candidatures pour renforcement ou reprise d’activités économiques                                                                                                                                                                         Sélection des propositions sur la base du profil socio-économique du demandeur et de critères de rentabilité / viabilité de l’activité proposée Enquête socio-économique préalable auprès des familles ciblées par le projet                                                                                                                                                               Réalisation d’études de marché menées dans certains cas directement par ACF                                                                                                                                                                           Soutien matériel Accompagnement pour l’élaboration d’un business plan pluri-mensuel                                                                                                                                                                 Formation et Suivi de l’activité économique durant une période de 3 à 6 mois après son lancement                                                                                                                                                    Reprise de contact avec les personnes ressources des quartiers et associations identifiées, intégration de ces personnes dans la planification du projet
Création/ouverture d’unités d’appui psychosocial et socio-économique pour les mères avec jeunes enfants [crèches parentales / accompagnement]
Identification des jeunes mères avec enfant participant au projet et constitution de groupes homogènes
Enquête socio-économique et psychosociale préalable auprès des familles ciblées par le projet
Préparation à la saison cyclonique et mise en place d’activités [relaxation, activités d’expression créatives, de soutien mutuel et de recherche de solutions, d’exercices culinaires…]
Identification des centres de santé référence et formalisation d’un protocole d’accord de prise en charge médicale
Encadrement, formation et accompagnement des jeunes filles pour le travail d’identification, de sélection et de préparation des AGR
Soutien matériel au démarrage d’activités génératrices de revenus et formation continue à la gestion d’un projet
Suivi et accompagnement des groupes et des activités économiques
Identification des associations/organisations de femmes et relais locaux
Diagnostic sur les forces / faiblesses (approche SWOT) de chacune de ces associations et plan de formation / d’accompagnement
Formation à la gestion de projets pour un renforcement des capacités à accompagner les initiatives locales d’AGR [formation de formateurs]                                                                                                   Préparation à la saison cyclonique des associations de femmes et des groupes de femmes enceintes et allaitantes
Soutien/formation à la préparation de dossiers de subvention
Formation pour renforcer les capacités des organisations locales à faire face à des urgences",,4/1/2010,5/31/2011,"$551,778","Food Security and Agriculture, Health",,"Agriculture, Health",,Action Against Hunger,,Private donations,," 3,360 ",,,Haiti,Artibonite,,,,,,,,,,,01-Oct-10,,
Action Aid International USA,1,ACAID-HT-10-001,Haiti post earthquake Emergency Response,"Immediate Response; Food distribution, Psychosocial,  Shelter, Cash for Work, Advocacy",,,1/20/2010,11/20/2010,"$400,000","Food Security and Agriculture, Health, Shelter and Non-Food Items",,"Agriculture, Health, Shelter and Housing",,Action Aid Haiti,"Community Organizations of the Port-au-Prince Metropolitan Zone (COZPAM), Coordination Régionale des Organisations de Sud-Est (CROSE)",Avaaz,," 1,200 ",,Affected population(s),Haiti,"Ouest, Sud-Est","Belle-Anse, Jacmel, Léogâne","Jacmel, Léogâne, Thiotte",,,,,Daniel Gedeon,Emergency Response Manager,daniel.gedeon2@actionaid.org,,24-Sep-10,,
Action Aid International USA,2,ACAID-HT-10-002,Haiti post earthquake Emergency Response,"Immediate needs Psychosocial, Protection, Education, Disaster Risk Reduction, Food Security and Livelihoods",,,1/12/2010,12/12/2010,"$1,617,732","Education, Food Security and Agriculture, Health, Protection",,"Agriculture, Education, Health, Protection",,Action Aid Haiti,"Community Organizations of the Port-au-Prince Metropolitan Zone (COZPAM), Coordination Régionale des Organisations de Sud-Est (CROSE), Coordination of Actions on Health and Development in Haiti (COSADH), Konbit Peyizan Grandans (KPGA)",Agenzia Italiana Risposta Emergenze (AGIRE),," 20,000 ",,"Internally displaced persons (IDPs), Earthquake victims",Haiti,"Centre, Grand'Anse, Ouest, Sud-Est","Belle-Anse, Corail, Jacmel, Lascahobas, Léogâne","Jacmel, Lascahobas, Léogâne, Roseaux, Thiotte",,,,,Daniel Gedeon,Emergency Response Manager,daniel.gedeon2@actionaid.org,,24-Sep-10,,
Action Aid International USA,3,ACAID-HT-10-003,Haiti post earthquake Emergency Response,"Immediate needs, Psychosocial, Protection, Education, Disaster Risk Reduction, Food Security and Livelihoods",,,1/15/2010,1/31/2013,"$5,228,953","Education, Food Security and Agriculture, Health, Protection",,"Agriculture, Education, Health, Protection",,Action Aid Haiti,"Community Organizations of the Port-au-Prince Metropolitan Zone (COZPAM), Coordination Régionale des Organisations de Sud-Est (CROSE), Coordination of Actions on Health and Development in Haiti (COSADH), Konbit Peyizan Grandans (KPGA)",Disaster Emergency Committee (DEC),," 2,000 ",,"Internally displaced persons (IDPs), Earthquake victims",Haiti,"Centre, Grand'Anse, Ouest, Sud-Est","Belle-Anse, Corail, Jacmel, Lascahobas, Léogâne","Jacmel, Lascahobas, Léogâne, Roseaux, Thiotte",,,,,Daniel Gedeon,Emergency Response Manager,daniel.gedeon2@actionaid.org,,24-Sep-10,,
Action Aid International USA,5,ACAID-HT-10-005,Haiti post earthquake Emergency Response,"Immediate relief, Psychosocial Advocacy",,,2/15/2010,2/15/2011,"$68,000","Early Recovery, Health",,"Disaster Management, Health",,Action Aid Haiti,"Community Organizations of the Port-au-Prince Metropolitan Zone (COZPAM), Coordination Régionale des Organisations de Sud-Est (CROSE)","Results-Based Financing (RBF), Private donations",," 20,000 ",,Affected population(s),Haiti,"Ouest, Sud-Est",Jacmel,Jacmel,,,,,Daniel Gedeon,Emergency Response Manager,daniel.gedeon2@actionaid.org,,24-Sep-10,,
Action Aid International USA,6,ACAID-HT-10-006,Post-Earthquake School Construction Project in Port-au-Prince,School Construction,,,11/1/2010,11/1/2011,"$325,423",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,Action Aid Haiti,Community Organizations of the Port-au-Prince Metropolitan Zone (COZPAM),Telemarathon/Canal Sur (Ayuda),, 360 ,,Affected population(s),Haiti,Ouest,"Léogâne, Port-au-Prince","Léogâne, Port-au-Prince",,,,,Daniel Gedeon,Emergency Response Manager,daniel.gedeon2@actionaid.org,,24-Sep-10,,
Action Aid International USA,7,ACAID-HT-10-007,Strengthen Mariani victim’s capacity after the earthquake,"Psychosocial, Protection, Shelter",,,11/1/2010,11/1/2011,"$211,440","Health, Protection, Shelter and Non-Food Items",,"Health, Protection, Shelter and Housing",,Action Aid Haiti,Community Organizations of the Port-au-Prince Metropolitan Zone (COZPAM),Banco de Santender/Travel Club (Ayuda),," 2,000 ",,Affected population(s),Haiti,Ouest,Léogâne,Léogâne,,,,,Daniel Gedeon,Emergency Response Manager,daniel.gedeon2@actionaid.org,,24-Sep-10,,
Action Aid International USA,8,ACAID-HT-10-008,Haiti Grain Processing Plant Project,Food Security,,,9/1/2010,8/31/2011,"$45,000",Food Security and Agriculture,,Agriculture,,Action Aid Haiti,Konbit Peyizan Grandans (KPGA),Boston Foundation/Moriah Fund (AAUSA),," 10,000 ",,Internally displaced persons (IDPs),Haiti,Grand'Anse,Corail,Roseaux,,,,,Daniel Gedeon,Emergency Response Manager,daniel.gedeon2@actionaid.org,,24-Sep-10,,
Adventist Development and Relief Agency (ADRA),1,ADRA-HT-10-001,Food Distribution,"Food distribution to various families in Carrefour, informal. High energy biscuit packets, rice, beans, salt, oil (126 MT)",,,1/18/2010,1/31/2010,"$100,055",Food Security and Agriculture,,Agriculture,,"World Food Program (WFP), Adventist Development and Relief Agency, Handicap International",,World Food Program (WFP),," 100,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Programs Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),2,ADRA-HT-10-002,Massive Food Distribution I,"Massive food distribution of Rice, Beans, Oil, Salt (1819 MT)",,,2/1/2010,2/28/2010,"$6,964",Food Security and Agriculture,,Agriculture,,"World Food Program, Adventist Development and Relief Agency",,World Food Program (WFP),," 61,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Programs Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),3,ADRA-HT-10-003,Massive Food Distribution II,"Massive food distribution of Rice, Beans, Oil, Salt (2857 MT)",,,3/1/2010,3/31/2010,"$188,475",Food Security and Agriculture,,Agriculture,,"World Food Program, Adventist Development and Relief Agency",,World Food Program (WFP),," 51,855 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),4,ADRA-HT-10-004,Network Funded Response,"Shelter and Non-Food Items, Water Sanitation and Hygiene, Health, Education",,,1/13/2010,8/31/2010,"$3,000,000","Education, Health, Shelter and Non-Food Items, Water Sanitation and Hygiene",,"Disaster Management, Education, Health, Shelter and Housing, Water Sanitation and Hygiene",,Adventist Development and Relief Agency Network,,Private donations,," 50,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),5,ADRA-HT-10-005,Shelter Tool Kits,"Shelter construction, debris removal - 1,803 Shelter Kits",,,3/1/2010,8/31/2010,"$901,500",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,"Adventist Development and Relief Agency, Habitat for Humanity International",,Habitat for Humanity International,," 9,015 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),6,ADRA-HT-10-006,Solar Lights,"Provide solar lights to IDP camps - 5,000 Solar lights",,,2/1/2010,3/31/2010,"$125,774",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,"Adventist Development and Relief Agency, Geneva Global",,Geneva Global,," 25,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),7,ADRA-HT-10-007,Non-Food Item (NFI) Distribution,"Provide jerry cans, water bladder and USAID tarp pieces - 2,000 jerry cans, 2,000 tarps.",,,1/12/2010,4/30/2010,"$35,000",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,"Adventist Development and Relief Agency, International Organization for Migration (IOM)",,International Organization for Migration (IOM),," 10,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
